construction,N,num_blocks,num_matching,predicted_alpha,actual_alpha,alpha_gap,d_max,c,k4_free,block_ids,k_copies,source,g6
single,88,1,27,39,39,0,7,1.5943,1,607,11,,~?@W??Fv}???????????Fo@~?????????????????????^??@~??????????????????????????????Fo???F{???????????????????????????????????????Fo????@~???????C?????????????????????????????????????????^??????@~??????A??????@???????@????????_????????????????@??????????Fo???????F{?????_???????C????????@?????????G???????????????????@??????????????Fo????????@~????_????????@??????????C??????????G??????????????????????C??????????????????^??????????@~??A??????????@???????????@????????????_????????????????????????@??????????????????????Fo???????????F{O????????????G????????????A????????????????????G???????????????????????????C???????????????????Fo????????????@~
single,96,1,30,42,42,0,7,1.5738,1,607,12,,~?@_??Fv{???????????Fo@~?????????????????????^??@~??????????????????????????????Fo???F{???????????????????????????????????????Fo????@~?????????????????????????????????????????????????^??????@~???????O???????_???????_???????O?????????????????O????????Fo???????F{?????C????????A?????????_????????C????????????????????O????????????Fo????????@~????C??????????_?????????A??????????C??????????????????????@?????????????????^??????????@~???O???????????_???????????_???????????O?????????????????????????O????????????????????Fo???????????F{?C????????????A?????????????_????????????C????????????????????????????O????????????????????????Fo????????????@~C??????????????_?????????????A??????????????C??????????????????????????????@?????????????????????????????^??????????????@~
single,16,1,5,7,7,0,7,1.5738,1,609,2,,O??F~{GC@?G?_????Fw@~
single,24,1,7,11,11,0,7,1.6488,1,609,3,,W??F~}??????O????Fw@~A??O?@????G??O???????^_?@~
single,32,1,10,14,14,0,7,1.5738,1,609,4,,_??F~{???????????Fw@~??_?C??O??_??_???????^_?@~A???C???C???A????_????????????Fw???F{
single,40,1,12,18,18,0,7,1.6188,1,609,5,,g??F~{???????????Fw@~_??????????@?????????^_?@~??_??@???@????_???G???????????Fw???F{G????C????@????????G????@??????????????Fw????@~
single,48,1,15,21,21,0,7,1.5738,1,609,6,,o??F~{???????????Fw@~?????????????????????^_?@~???G???O???O???G???A??????????Fw???F{?A????@?????O????A?????G???????????????Fw????@~A??????O?????@??????A??????A?????????????????????^_?????@~
single,56,1,17,25,25,0,7,1.6059,1,609,7,,w??F~{???????????Fw@~?????????????????????^_?@~_????????????????O????????????Fw???F{???_????O????C?????_????A??????????????Fw????@~??_?????C??????O??????_??????_???????????????????^_?????@~A???????C???????C????????????_???????O????????????????????Fw???????F{
single,64,1,20,28,28,0,7,1.5738,1,609,8,,~?@???F~{???????????Fw@~?????????????????????^_?@~??????????????????????????????Fw???F{????G????C????@?????G?????_????????????Fw????@~???G?????@??????C??????G??????G??????????????????^_?????@~??_??????@???????@????????_???????G???????????????????????Fw???????F{G????????C????????@?????????G?????????_????????????????????????????Fw????????@~
single,72,1,22,32,32,0,7,1.5988,1,609,9,,~?@G??F~{???????????Fw@~?????????????????????^_?@~??????????????????????????????Fw???F}??????????????????????O????????????????Fw????@~????A??????O?????@??????A??????A?????????????????^_?????@~???G???????O???????O???????G???????A??????????????????????Fw???????F{?A????????@?????????O????????A?????????G???????????????????????????Fw????????@~A??????????O?????????@????????????????G??????????O???????????????????????????^_?????????@~
single,80,1,25,35,35,0,7,1.5738,1,609,10,,~?@O??F~{???????????Fw@~?????????????????????^_?@~??????????????????????????????Fw???F{???????????????????????????????????????Fw????@~??????_?????C??????O??????_??????_???????????????^_?????@~????A???????C???????C???????A????????_????????????????????Fw???????F{???_????????O????????C?????????_????????A??????????????????????????Fw????????@~??_?????????C??????????O??????????_??????????_???????????????????????????????^_?????????@~A???????????C???????????C???????????A????????????_????????????????????????????????????Fw???????????F{
single,88,1,27,39,39,0,7,1.5943,1,609,11,,~?@W??F~{???????????Fw@~?????????????????????^_?@~??????????????????????????????Fw???F{???????????????????????????????????????Fw????@~_??????????????????????????@?????????????????????^_?????@~??????_??????@???????@????????_???????G???????????????????Fw???????F{????G????????C????????@?????????G?????????_????????????????????????Fw????????@~???G?????????@??????????C??????????G??????????G??????????????????????????????^_?????????@~??_??????????@???????????@????????????_???????????G???????????????????????????????????Fw???????????F{G????????????C????????????@????????????????????G????????????@??????????????????????????????????Fw????????????@~
single,96,1,30,42,42,0,7,1.5738,1,609,12,,~?@_??F~{???????????Fw@~?????????????????????^_?@~??????????????????????????????Fw???F{???????????????????????????????????????Fw????@~?????????????????????????????????????????????????^_?????@~???????G???????O???????O???????G???????A??????????????????Fw???????F{?????A????????@?????????O????????A?????????G???????????????????????Fw????????@~????A??????????O?????????@??????????A??????????A?????????????????????????????^_?????????@~???G???????????O???????????O???????????G???????????A??????????????????????????????????Fw???????????F{?A????????????@?????????????O????????????A?????????????G???????????????????????????????????????Fw????????????@~A??????????????O?????????????@??????????????A??????????????A?????????????????????????????????????????????^_?????????????@~
single,16,1,5,7,7,0,7,1.5738,1,585,2,,O??CF{?@?OA?G?O??C?@~
single,24,1,7,11,11,0,7,1.6488,1,585,3,,W??CF{?O??????G??C?@~???C??O??_???A??A????O??@~
single,32,1,10,14,14,0,7,1.5738,1,585,4,,_??CF{???????????C?@~????@??C??G??G??C????O??@~????@???@????_???G???@????????C????F{
single,40,1,12,18,18,0,7,1.6188,1,585,5,,g??CF{???????????C?@~??@????????????G?????O??@~??????O???O???G???A????O??????C????F{?????@?????O????A????????G?????_???????C?????@~
single,48,1,15,21,21,0,7,1.5738,1,585,6,,o??CF{???????????C?@~?????????????????????O??@~???????C???C???A????_???C?????C????F{???????O????C?????_????A?????C?????????C?????@~???????C??????O??????_??????_??????O?????????????O??????@~
single,56,1,17,25,25,0,7,1.6059,1,585,7,,w??CF{???????????C?@~?????????????????????O??@~????O?????????????????_???????C????F{????????C????@?????G?????_????@????????C?????@~????????@??????C??????G??????G??????C????????????O??????@~????????@???????@????????_???????????A????????_???????????C????????F{
single,64,1,20,28,28,0,7,1.5738,1,585,8,,~?@???CF{???????????C?@~?????????????????????O??@~??????????????????????????????C????F{?????????@?????O????A?????G?????O??????C?????@~??????????O?????@??????A??????A??????@???????????O??????@~??????????O???????O???????G???????A????????O??????????????C????????F{?????????@?????????O????????A?????????G?????????O??????????????????C?????????@~
single,72,1,22,32,32,0,7,1.5988,1,585,9,,~?@G??CF{???????????C?@~?????????????????????O??@~??????????????????????????????C????F{?????O??????????????????????G??????????C?????@~???????????C??????O??????_??????_??????O?????????O??????@~???????????C???????C???????A????????_???????C?????????????C????????F{???????????O????????C?????????_????????A?????????C?????????????????C?????????@~???????????C??????????O??????????_???????????????A??????????A????????????????O??????????@~
single,80,1,25,35,35,0,7,1.5738,1,585,10,,~?@O??CF{???????????C?@~?????????????????????O??@~??????????????????????????????C????F{???????????????????????????????????????C?????@~????????????@??????C??????G??????G??????C????????O??????@~????????????@???????@????????_???????G???????@????????????C????????F{????????????C????????@?????????G?????????_????????@????????????????C?????????@~????????????@??????????C??????????G??????????G??????????C????????????????????O??????????@~????????????@???????????@????????????_???????????G???????????@????????????????????????C????????????F{
single,88,1,27,39,39,0,7,1.5943,1,585,11,,~?@W??CF{???????????C?@~?????????????????????O??@~??????????????????????????????C????F{???????????????????????????????????????C?????@~??????@????????????????????????????G?????????????O??????@~??????????????O???????O???????G???????A????????O??????????C????????F{?????????????@?????????O????????A?????????G?????????O??????????????C?????????@~??????????????O?????????@??????????A??????????A??????????@???????????????????O??????????@~??????????????O???????????O???????????G???????????A????????????O??????????????????????C????????????F{?????????????@?????????????O????????????A????????????????????G?????????????_???????????????????C?????????????@~
single,96,1,30,42,42,0,7,1.5738,1,585,12,,~?@_??CF{???????????C?@~?????????????????????O??@~??????????????????????????????C????F{???????????????????????????????????????C?????@~?????????????????????????????????????????????????O??????@~???????????????C???????C???????A????????_???????C?????????C????????F{???????????????O????????C?????????_????????A?????????C?????????????C?????????@~???????????????C??????????O??????????_??????????_??????????O?????????????????O??????????@~???????????????C???????????C???????????A????????????_???????????C?????????????????????C????????????F{???????????????O????????????C?????????????_????????????A?????????????C?????????????????????????C?????????????@~???????????????C??????????????O??????????????_??????????????_??????????????O?????????????????????????????O??????????????@~
single,16,1,6,8,8,0,7,1.7986,1,583,2,,O???F{CA?_C?O?_????@~
single,24,1,9,12,12,0,7,1.7986,1,583,3,,W???F}?G??????O????@~@??G??_???G??A??A???????@~
single,32,1,12,16,16,0,7,1.7986,1,583,4,,_???F{?????????????@~??O?A??G??O??O??G???????@~@???A???A???@????O???A?????????????F{
single,40,1,15,20,20,0,7,1.7986,1,583,5,,g???F{?????????????@~_??_???????????O????????@~??O???_???_???O???C????_???????????F{C????A?????_???????G?????G?????_?????????????@~
single,48,1,18,24,24,0,7,1.7986,1,583,6,,o???F{?????????????@~????????????????????????@~???C???G???G???C???@????G??????????F{?@?????_????G????@?????C?????G???????????????@~@??????G??????_?????@??????@???????_????????????????????@~
single,56,1,21,28,28,0,7,1.7986,1,583,7,,w???F{?????????????@~????????????????????????@~_???G????????????????@?????????????F{???O????G????A?????O????@?????A??????????????@~??O?????A??????G??????O??????O??????G???????????????????@~@???????A???????A????????????_???????A????????_????????????????????F{
single,64,1,24,32,32,0,7,1.7986,1,583,8,,~?@????F{?????????????@~????????????????????????@~???????????????????????????????????F{????C????A?????_????C?????O?????_????????????@~???C??????_?????A??????C??????C??????A??????????????????@~??O???????_???????_???????O???????C????????_???????????????????????F{C????????A?????????_????????C?????????O?????????_????????????????????????????@~
single,72,1,27,36,36,0,7,1.7986,1,583,9,,~?@G???F{?????????????@~????????????????????????@~???????????????????????????????????F}?????G??????????????????????O????????????????@~????@??????G??????_?????@??????@???????_????????????????@~???C???????G???????G???????C???????@????????G??????????????????????F{?@?????????_????????G????????@?????????C?????????G???????????????????????????@~@??????????G??????????_???????????????G??????????A??????????A???????????????????????????@~
single,80,1,30,40,40,0,7,1.7986,1,583,10,,~?@O???F{?????????????@~????????????????????????@~???????????????????????????????????F{?????????????????????????????????????????????@~??????O?????A??????G??????O??????O??????G???????????????@~????@???????A???????A???????@????????O???????A?????????????????????F{???O????????G????????A?????????O????????@?????????A??????????????????????????@~??O?????????A??????????G??????????O??????????O??????????G???????????????????????????????@~@???????????A???????????A???????????@????????????O???????????A?????????????????????????????????????F{
single,88,1,33,44,44,0,7,1.7986,1,583,11,,~?@W???F{?????????????@~????????????????????????@~???????????????????????????????????F{?????????????????????????????????????????????@~_??????_???????????????????????????O????????????????????@~??????O???????_???????_???????O???????C????????_???????????????????F{????C????????A?????????_????????C?????????O?????????_????????????????????????@~???C??????????_?????????A??????????C??????????C??????????A??????????????????????????????@~??O???????????_???????????_???????????O???????????C????????????_???????????????????????????????????F{C????????????A?????????????_???????????????????G?????????????G?????????????_?????????????????????????????????@~
single,96,1,36,48,48,0,7,1.7986,1,583,12,,~?@_???F{?????????????@~????????????????????????@~???????????????????????????????????F{?????????????????????????????????????????????@~????????????????????????????????????????????????????????@~???????C???????G???????G???????C???????@????????G??????????????????F{?????@?????????_????????G????????@?????????C?????????G???????????????????????@~????@??????????G??????????_?????????@??????????@???????????_????????????????????????????@~???C???????????G???????????G???????????C???????????@????????????G??????????????????????????????????F{?@?????????????_????????????G????????????@?????????????C?????????????G???????????????????????????????????????@~@??????????????G??????????????_?????????????@??????????????@???????????????_????????????????????????????????????????????@~
single,14,1,4,6,6,0,6,1.4351,1,90,2,,M?BF{??A?_C??W?^_
single,21,1,6,9,9,0,6,1.4351,1,90,3,,T?BF{?????A??W?^c????A???G??_??@_??~
single,28,1,8,12,12,0,6,1.4351,1,90,4,,[?BFw????????W?^_G????@??G??_??@_??~_??????@???C???G??????B????~
single,35,1,10,15,15,0,6,1.4351,1,90,5,,b?BF{????????W?^_??????????_???@_??~??G??????_??A???C?????B????~G?????????O??????G????G??????B?????^_
single,42,1,12,18,18,0,6,1.4351,1,90,6,,i?BFw????????W?^_??????????????@_??~??G???????O??@???A????B????~?O?????????G????O????O???????B?????^o???????????A?????A?????@???????????@_?????Fw
single,49,1,14,21,21,0,6,1.4351,1,90,7,,p?BF{????????W?^_??????????????@_??~???????????????C??????B????~???C????????C????G????G??????B?????^_?C??????????@?????@??????_?????????@_?????Fx??????????????G??????????_??????G??????????W???????~
single,56,1,16,24,24,0,6,1.4351,1,90,8,,w?BFw????????W?^_??????????????@_??~??????????????????????B????~???C?????????A????C????C?????B?????^_?C????????????_?????_?????O????????@_?????FwA??????????????C??????A???????_????????????W???????~_????????????????O???????C????????_???????????????B????????B{
single,63,1,18,27,27,0,6,1.4351,1,90,9,,~??~?BF{????????W?^_??????????????@_??~??????????????????????B????~????????????????????O????????B?????^_???@???????????O?????O?????G???????@_?????Fw???_????????????A??????@???????O???????????W???????~??G???????????????G???????A????????O??????????????B????????B{_??????????????????O?????????????G?????????_?????????????K?????????Fw
single,70,1,20,30,30,0,6,1.4351,1,90,10,,~?@E?BFw????????W?^_??????????????@_??~??????????????????????B????~?????????????????????????????B?????^_???@????????????G?????G?????C??????@_?????Fw???_?????????????@???????_??????G??????????W???????~??G????????????????C???????@????????G?????????????B????????B{@???????????????????G????????@?????????C?????????????????K?????????F{?????????????????????G??????????_?????????@?????????????????????W??????????Fw
single,77,1,22,33,33,0,6,1.4351,1,90,11,,~?@L?BF{????????W?^_??????????????@_??~??????????????????????B????~?????????????????????????????B?????^_????????????????????????_??????????@_?????Fw?????G?????????????_??????O??????C?????????W???????~????A???????????????A????????_???????C????????????B????????B{???O?????????????????C?????????_????????A????????????????K?????????Fw?@????????????????????C??????????O??????????_???????????????????W??????????Fx???????????????????????A?????????????????G???????????G?????????????????W???????????B{
single,84,1,24,36,36,0,6,1.4351,1,90,12,,~?@S?BFw????????W?^_??????????????@_??~??????????????????????B????~?????????????????????????????B?????^_???????????????????????????????????@_?????Fw?????G??????????????O??????G??????A????????W???????~????A????????????????@????????O???????A???????????B????????B{???O??????????????????A?????????O????????@???????????????K?????????Fw?@?????????????????????A??????????G??????????O??????????????????W??????????FwA???????????????????????@???????????A???????????A??????????????????????W???????????B}??????????????????????????O????????????O????????????G?????????????????????????K?????????????~
single,14,1,4,6,6,0,6,1.4351,1,96,2,,M?BfyA???OA??[?^_
single,21,1,6,9,9,0,6,1.4351,1,96,3,,T?Bfw????_O??[?^g??@????G??A???@o??~
single,28,1,8,12,12,0,6,1.4351,1,96,4,,[?Bfw????????[?^_C?A?????C??O??@o??~O??C???????A???C??????B_???~
single,35,1,10,15,15,0,6,1.4351,1,96,5,,b?Bfw????????[?^_???????O?C????@o??~?G??A???????@???A?????B_???~O??????O???????O??????_??????B_????^_
single,42,1,12,18,18,0,6,1.4351,1,96,6,,i?Bfw????????[?^_??????????????@o??~??C??@????????_??@????B_???~?G???@??????????G????G???????B_????^g?????_???????????@??????_??????????@o?????Fw
single,49,1,14,21,21,0,6,1.4351,1,96,7,,p?Bfw????????[?^_??????????????@o??~???????????C???_??????B_???~??C????_?????????C????C??????B_????^_C?????O????????????_?????O?????????@o?????Fy??????????O??????????A??????????_??????????[???????~
single,56,1,16,24,24,0,6,1.4351,1,96,8,,w?Bfw????????[?^_??????????????@o??~??????????????????????B_???~???A????O?????????A????A?????B_????^_?A?????G????????????O?????G????????@o?????Fw@??????A??????????????@???????O????????????[???????~O???????O????????????????A????????O???????????????B_???????B{
single,63,1,18,27,27,0,6,1.4351,1,96,9,,~??~?Bfw????????[?^_??????????????@o??~??????????????????????B_???~???????????????_???A?????????B_????^_??@?????C????????????G?????C???????@o?????Fw??_?????@???????????????_??????G???????????[???????~?G???????G????????????????@????????G??????????????B_???????B|?????????????@??????????????@?????????????A??????????????M?????????Fw
single,70,1,20,30,30,0,6,1.4351,1,96,10,,~?@E?Bfw????????[?^_??????????????@o??~??????????????????????B_???~?????????????????????????????B_????^_????_????A????????????C?????A??????@o?????Fw???O??????_??????????????O??????C??????????[???????~??C???????C?????????????????_???????C?????????????B_???????B{?_????????O???????????????????_????????A?????????????????M?????????Fy??????????_?????????????????????O??????????_????????????????????[??????????Fw
single,77,1,22,33,33,0,6,1.4351,1,96,11,,~?@L?Bfw????????[?^_??????????????@o??~??????????????????????B_???~?????????????????????????????B_????^_?????????????????A?????C???????????@o?????Fw????G??????O??????????????G??????A?????????[???????~???A???????A?????????????????O???????A????????????B_???????B{??O????????G???????????????????O????????@????????????????M?????????Fw@??????????O?????????????????????G??????????O???????????????????[??????????Fy?????????????????O?????????????????A?????????????????_?????????????????[???????????B{
single,84,1,24,36,36,0,6,1.4351,1,96,12,,~?@S?Bfw????????[?^_??????????????@o??~??????????????????????B_???~?????????????????????????????B_????^_???????????????????????????????????@o?????Fw?????C??????G??????????????C??????@????????[???????~????@???????@?????????????????G???????@???????????B_???????B{???G????????C???????????????????G?????????_??????????????M?????????Fw??_?????????G?????????????????????C??????????G??????????????????[??????????Fw@???????????G???????????????????????@???????????@??????????????????????[???????????B|????????????C??????????????????????????G????????????C?????????????????????????M?????????????~
single,14,1,4,6,6,0,6,1.4351,1,100,2,,M?Bvx@?_??@??]?^_
single,21,1,6,9,9,0,6,1.4351,1,100,3,,T?Bv{?G??????]?^c?A???C?????G??@w??~
single,28,1,8,12,12,0,6,1.4351,1,100,4,,[?Bvw????????]?^_A?@??O?????G??@w??~G??A???O???????A??????Bo???~
single,35,1,10,15,15,0,6,1.4351,1,100,5,,b?Bv{????????]?^_??O???????????@w??~??G??_??C???????@?????Bo???~G???@???????O?????????A??????Bo????^_
single,42,1,12,18,18,0,6,1.4351,1,100,6,,i?Bvw????????]?^_??????????????@w??~??A???_??C????????_???Bo???~?C????_???A??????????C???????Bo????^c?????O?????_????????????O??????????@w?????Fw
single,49,1,14,21,21,0,6,1.4351,1,100,7,,p?Bv{????????]?^_??????????????@w??~????O?????????????????Bo???~???C???G????_?????????A??????Bo????^_?C????C?????G????????????G?????????@w?????Fx??????A??????????C??????????????A??????????]???????~
single,56,1,16,24,24,0,6,1.4351,1,100,8,,w?Bvw????????]?^_??????????????@w??~??????????????????????Bo???~???@????G????_?????????@?????Bo????^_?@?????C?????G????????????C????????@w?????Fw?_?????@??????@???????????????G????????????]???????~G???????G???????C?????????????????G???????????????Bo???????B{
single,63,1,18,27,27,0,6,1.4351,1,100,9,,~??~?Bv{????????]?^_??????????????@w??~??????????????????????Bo???~?????G???????????????????????Bo????^_???@????@?????A????????????A???????@w?????Fw???_?????O??????O??????????????C???????????]???????~??G??????A???????@?????????????????C??????????????Bo???????B{_????????O?????????????C???????????????????G?????????????N?????????Fw
single,70,1,20,30,30,0,6,1.4351,1,100,10,,~?@E?Bvw????????]?^_??????????????@w??~??????????????????????Bo???~?????????????????????????????Bo????^_????O????@?????A????????????@??????@w?????Fw???G??????O??????O??????????????A??????????]???????~??A???????A???????@?????????????????A?????????????Bo???????B{?O????????G????????A???????????????????@?????????????????N?????????Fx??????????O?????????A??????????????????????O????????????????????]??????????Fw
single,77,1,22,33,33,0,6,1.4351,1,100,11,,~?@L?Bv{????????]?^_??????????????@w??~??????????????????????Bo???~?????????????????????????????Bo????^_?????A?????????????????????????????@w?????Fw?????G?????C??????C??????????????@?????????]???????~????A???????_???????O????????????????@????????????Bo???????B{???O???????A?????????_???????????????????_???????????????N?????????Fw?@?????????C??????????_?????????????????????G???????????????????]??????????Fx???????????G?????????????????O???????????????????????A?????????????????]???????????B{
single,84,1,24,36,36,0,6,1.4351,1,100,12,,~?@S?Bvw????????]?^_??????????????@w??~??????????????????????Bo???~?????????????????????????????Bo????^_???????????????????????????????????@w?????Fw?????A??????C??????C???????????????_???????]???????~?????_???????_???????O?????????????????_??????????Bo???????B{???C????????A?????????_???????????????????O??????????????N?????????Fw??O?????????C??????????_?????????????????????C??????????????????]??????????Fw?_??????????C???????????O????????????????????????_?????????????????????]???????????B{_???????????A????????????C??????????????????????????A?????????????????????????N?????????????~
single,14,1,4,6,6,0,6,1.4351,1,102,2,,M?B~w__OC????^?^_
single,21,1,6,9,9,0,6,1.4351,1,102,3,,T?B~{???A????^?^a?@???C??_?????@{??~
single,28,1,8,12,12,0,6,1.4351,1,102,4,,[?B~w????????^?^_@??_?G?@??????@{??~C??@???G???_??????????Bw???~
single,35,1,10,15,15,0,6,1.4351,1,102,5,,b?B~w????????^?^o??????@???????@{??~?A???_??C???O?????????Bw???~C????_??????O????_???????????Bw????^_
single,42,1,12,18,18,0,6,1.4351,1,102,6,,i?B~w????????^?^_??????????????@{??~??@???O??A???G????????Bw???~?A????O???@????A?????????????Bw????^a?????G?????O?????O?????????????????@{?????Fw
single,49,1,14,21,21,0,6,1.4351,1,102,7,,p?B~w????????^?^_??????????????@{??~_??????????O??????????Bw???~??@????G????_???@????????????Bw????^_@?????C?????G?????G????????????????@{?????Fw_?????@??????????C??????A??????????????????^???????~
single,56,1,16,24,24,0,6,1.4351,1,102,8,,w?B~w????????^?^_??????????????@{??~??????????????????????Bw???~????_???C????O????_??????????Bw????^_??_????A?????C?????C???????????????@{?????Fw?O??????_??????_??????O????????????????????^???????~C???????C???????A????????_????????????????????????Bw???????B{
single,63,1,18,27,27,0,6,1.4351,1,102,9,,~??~?B~w????????^?^_??????????????@{??~??????????????????????Bw???~_?????????????A??????????????Bw????^_???O????@?????A?????A??????????????@{?????Fw??G??????O??????O??????G???????????????????^???????~?A???????A???????@????????O???????????????????????Bw???????B{O????????G?????????????C?????????_???????????????????????N_????????Fw
single,70,1,20,30,30,0,6,1.4351,1,102,10,,~?@E?B~w????????^?^_??????????????@{??~??????????????????????Bw???~?????????????????????????????Bw????^_????G?????_????@?????@?????????????@{?????Fw???C??????G??????G??????C??????????????????^???????~??@???????@????????_???????G??????????????????????Bw???????B{?G????????C????????@?????????G???????????????????????????N_????????Fw_?????????G?????????@??????????C????????????????????????????????^??????????Fw
single,77,1,22,33,33,0,6,1.4351,1,102,11,,~?@L?B~w????????^?^_??????????????@{??~??????????????????????Bw???~?????????????????????????????Bw????^o?????????????????G?????????????????@{?????Fw????A??????C??????C??????A?????????????????^???????~????_???????_???????O???????C?????????????????????Bw???????B{??C????????A?????????_????????C??????????????????????????N_????????Fw?O?????????C??????????_?????????A???????????????????????????????^??????????Fw_??????????C?????????????????O???????????_?????????????????????????????^???????????B{
single,84,1,24,36,36,0,6,1.4351,1,102,12,,~?@S?B~w????????^?^_??????????????@{??~??????????????????????Bw???~?????????????????????????????Bw????^_???????????????????????????????????@{?????Fw?????@??????A??????A??????@????????????????^???????~?????O???????O???????G???????A????????????????????Bw???????B{???A????????@?????????O????????A?????????????????????????N_????????Fw??G?????????A??????????O?????????@??????????????????????????????^??????????Fw?O??????????A???????????G???????????O??????????????????????????????????^???????????B{O???????????@????????????A????????????A???????????????????????????????????????N_????????????~
single,14,1,4,6,6,0,6,1.4351,1,85,2,,M?AFw?GC@?G??O?^_
single,21,1,6,9,9,0,6,1.4351,1,85,3,,T?AFw@????C??O?^_??O?C???G??_??@???~
single,28,1,8,12,12,0,6,1.4351,1,85,4,,[?AFw????????O?^_???G?A??O?@???@???~????O??A???G???O??????A????~
single,35,1,10,15,15,0,6,1.4351,1,85,5,,b?AFw????????O?^_?A???????@????@???~?????G??@???C???G?????A????~?????G????_??????G????G??????A?????^_
single,42,1,12,18,18,0,6,1.4351,1,85,6,,i?AFw????????O?^_??????????????@???~??????C???_??A???C????A????~??????C????O????_????_???????A?????^_?????A?????C?????C?????A???????????@??????Fw
single,49,1,14,21,21,0,6,1.4351,1,85,7,,p?AFw????????O?^_??????????????@???~???A???????????G??????A????~???????A????G????O????O??????A?????^_??????@?????A?????A?????@??????????@??????Fw???????O??????O??????????_??????G??????????O???????~
single,56,1,16,24,24,0,6,1.4351,1,85,8,,w?AFw????????O?^_??????????????@???~??????????????????????A????~????????@????C????G????G?????A?????^_????????_????@?????@??????_????????@??????Fw????????G??????G??????C??????@?????????????O???????~????????@????????_???????G???????@????????????????A????????B{
single,63,1,18,27,27,0,6,1.4351,1,85,9,,~??~?AFw????????O?^_??????????????@???~??????????????????????A????~????@???????????????_????????A?????^_?????????O?????_?????_?????O???????@??????Fw?????????C??????C??????A???????_???????????O???????~??????????_???????O???????C????????_??????????????A????????B{?????????A?????????_?????????????G?????????_?????????????G?????????Fw
single,70,1,20,30,30,0,6,1.4351,1,85,10,,~?@E?AFw????????O?^_??????????????@???~??????????????????????A????~?????????????????????????????A?????^_??????????G?????O?????O?????G??????@??????Fw??????????A??????A??????@???????O??????????O???????~???????????O???????G???????A????????O?????????????A????????B{??????????@?????????O????????A?????????G?????????????????G?????????Fw??????????A??????????O?????????@??????????A?????????????????????O??????????Fw
single,77,1,22,33,33,0,6,1.4351,1,85,11,,~?@L?AFw????????O?^_??????????????@???~??????????????????????A????~?????????????????????????????A?????^_?????O?????????????????@???????????@??????Fw???????????@??????@???????_??????G?????????O???????~????????????G???????C???????@????????G????????????A????????B{????????????_????????G????????@?????????C????????????????G?????????Fw???????????@??????????G??????????_?????????@????????????????????O??????????Fw???????????@???????????C?????????????????G???????????G?????????????????O???????????B{
single,84,1,24,36,36,0,6,1.4351,1,85,12,,~?@S?AFw????????O?^_??????????????@???~??????????????????????A????~?????????????????????????????A?????^_???????????????????????????????????@??????Fw?????????????_??????_??????O??????C????????O???????~?????????????C???????A????????_???????C???????????A????????B{?????????????O????????C?????????_????????A???????????????G?????????Fw?????????????_?????????C??????????O??????????_??????????????????O??????????Fw?????????????_??????????A???????????C???????????C??????????????????????O???????????B{?????????????O????????????_????????????_????????????O?????????????????????????G?????????????~
single,14,1,5,7,7,0,6,1.6743,1,83,2,,M??FwOOGA?O????^_
single,21,1,7,11,11,0,6,1.7541,1,83,3,,T??F{?????G????^`??_?G???G?@???????~
single,28,1,10,14,14,0,6,1.6743,1,83,4,,[??Fw??????????^_?_?O?C??_?A???????~A???_??C???O???_???????????~
single,35,1,12,18,18,0,6,1.7222,1,83,5,,b??Fw??????????^o?????????A????????~?@???O??A???G???O??????????~A????O???@???????G????O????????????^_
single,42,1,15,21,21,0,6,1.6743,1,83,6,,i??Fw??????????^_??????????????????~???_??G??@???C???G?????????~?@????G????_???@????@??????????????^`?????C?????G?????G?????C??????????????????Fw
single,49,1,17,25,25,0,6,1.7085,1,83,7,,p??Fw??????????^_??????????????????~_??????????????O???????????~???_???C????O????_????_????????????^_?_????A?????C?????C?????A?????????????????FwO??????_??????_??????????_??????O??????????????????~
single,56,1,20,28,28,0,6,1.6743,1,83,8,,w??Fw??????????^_??????????????????~???????????????????????????~????O???A????G????O????O???????????^_??O????@?????A?????A?????@????????????????Fw?G??????O??????O??????G??????A?????????????????????~A???????A???????@????????O???????A?????????????????????????B{
single,63,1,22,32,32,0,6,1.7009,1,83,9,,~??~??Fw??????????^_??????????????????~???????????????????????????~_??????????????????@???????????????^_???G?????_????@?????@??????_??????????????Fw??C??????G??????G??????C??????@????????????????????~?@???????@????????_???????G???????@????????????????????????B{G????????C????????@??????????????G????????@????????????????????????Fw
single,70,1,25,35,35,0,6,1.6743,1,83,10,,~?@E??Fw??????????^_??????????????????~???????????????????????????~???????????????????????????????????^_????C?????O?????_?????_?????O?????????????Fw???A??????C??????C??????A???????_??????????????????~???_???????_???????O???????C????????_??????????????????????B{?C????????A?????????_????????C?????????O???????????????????????????FwO?????????C??????????_?????????A??????????C????????????????????????????????Fw
single,77,1,27,39,39,0,6,1.6961,1,83,11,,~?@L??Fw??????????^_??????????????????~???????????????????????????~???????????????????????????????????^o???????????????????????A??????????????????Fw????@??????A??????A??????@???????O?????????????????~????O???????O???????G???????A????????O?????????????????????B{??A????????@?????????O????????A?????????G??????????????????????????Fw?G?????????A??????????O?????????@??????????A???????????????????????????????FwO??????????A???????????G?????????????????G???????????O?????????????????????????????B{
