construction,N,num_blocks,num_matching,predicted_alpha,actual_alpha,alpha_gap,d_max,c,k4_free,block_ids,k_copies,source,g6
single,96,1,30,42,42,0,5,1.3592,1,600,12,,~?@_??Fe]???????????F_@f?????????????????????]??@f??????????????????????????????F_???E[???????????????????????????????????????F_????@f?????????????????????????????????????????????????]??????@f???????????????????????A???????@????????O???????A?????????F_???????E[???????A????????????????A?????????O????????@?????????A?????????????F_????????@f??????A???????????????????G??????????O??????????O??????????G?????????????????]??????????@f?????G?????????????????????A???????????@????????????O???????????A?????????????????????F_???????????E[???A????????????????????????A?????????????O????????????@?????????????A?????????????????????????F_????????????@f??A???????????????????????????G??????????????O??????????????O??????????????G?????????????????????????????]??????????????@f
single,14,1,4,6,6,0,4,1.2366,1,93,2,,M?Bcw?GC@?G??[?R_
single,21,1,6,9,9,0,4,1.2366,1,93,3,,T?Bcw@????C??[?R_??O?C???G??_??@o??f
single,28,1,8,12,12,0,4,1.2366,1,93,4,,[?Bcw????????[?R_???G?A??O?@???@o??f????O??A???G???O??????B_???f
single,35,1,10,15,15,0,4,1.2366,1,93,5,,b?Bcw????????[?R_?A???????@????@o??f?????G??@???C???G?????B_???f?????G????_??????G????G??????B_????R_
single,42,1,12,18,18,0,4,1.2366,1,93,6,,i?Bcw????????[?R_??????????????@o??f??????C???_??A???C????B_???f??????C????O????_????_???????B_????R_?????A?????C?????C?????A???????????@o?????Cw
single,49,1,14,21,21,0,4,1.2366,1,93,7,,p?Bcw????????[?R_??????????????@o??f???A???????????G??????B_???f???????A????G????O????O??????B_????R_??????@?????A?????A?????@??????????@o?????Cw???????O??????O??????????_??????G??????????[???????f
single,56,1,16,24,24,0,4,1.2366,1,93,8,,w?Bcw????????[?R_??????????????@o??f??????????????????????B_???f????????@????C????G????G?????B_????R_????????_????@?????@??????_????????@o?????Cw????????G??????G??????C??????@?????????????[???????f????????@????????_???????G???????@????????????????B_???????A[
single,63,1,18,27,27,0,4,1.2366,1,93,9,,~??~?Bcw????????[?R_??????????????@o??f??????????????????????B_???f????@???????????????_????????B_????R_?????????O?????_?????_?????O???????@o?????Cw?????????C??????C??????A???????_???????????[???????f??????????_???????O???????C????????_??????????????B_???????A[?????????A?????????_?????????????G?????????_?????????????M?????????Cw
single,70,1,20,30,30,0,4,1.2366,1,93,10,,~?@E?Bcw????????[?R_??????????????@o??f??????????????????????B_???f?????????????????????????????B_????R_??????????G?????O?????O?????G??????@o?????Cw??????????A??????A??????@???????O??????????[???????f???????????O???????G???????A????????O?????????????B_???????A[??????????@?????????O????????A?????????G?????????????????M?????????Cw??????????A??????????O?????????@??????????A?????????????????????[??????????Cw
