n,alpha,d_max,c_log,E_max,tightness,time_s
10,3,6,1.004599,2.9936248471894107,0.9978749490631369,0.010060787200927734
11,3,7,0.981079,2.994766501655782,0.9982555005519274,0.017903566360473633
12,4,7,1.199096,3.974458450983913,0.9936146127459783,0.01656174659729004
13,4,8,1.18375,3.9905301697128905,0.9976325424282226,0.018590211868286133
14,4,8,1.099196,3.9866052544247053,0.9966513136061763,0.02176976203918457
15,4,9,1.092287,3.98920769177727,0.9973019229443175,0.034240007400512695
16,4,9,1.024019,3.9920300191050115,0.9980075047762529,0.03991365432739258
17,5,10,1.277337,4.986046601853902,0.9972093203707804,0.044435739517211914
18,5,10,1.206374,4.988691150521449,0.9977382301042897,0.04888343811035156
19,5,10,1.14288,4.978262108352536,0.9956524216705072,0.07123470306396484
20,5,11,1.146839,4.985208446909313,0.9970416893818627,0.08589458465576172
21,5,11,1.092228,4.987629587841618,0.9975259175683237,0.10385346412658691
22,5,12,1.097535,4.9896861896252425,0.9979372379250485,0.14011430740356445
23,6,12,1.25978,5.936932656152118,0.989488776025353,0.1526200771331787
24,6,13,1.267082,5.972392749814499,0.9953987916357497,0.16021943092346191
