method,N,d_cap,d_max,d_min,d_mean,d_var,greedy_mis,alpha_sat,alpha_timed_out,c_greedy,c_sat,time_s
method1,5,3,3,2,2.8,0.16,2,2,0,1.0923,1.0923,0.0
method2,5,3,3,1,1.6,0.64,3,3,0,1.6384,1.6384,0.0
method2r,5,3,3,2,2.8,0.16,2,2,0,1.0923,1.0923,0.0
method3,5,3,3,2,2.8,0.16,2,2,0,1.0923,1.0923,0.0
method1,6,3,3,3,3.0,0.0,2,2,0,0.9102,0.9102,0.0
method2,6,3,3,1,1.667,0.556,3,3,0,1.3654,1.3654,0.0
method2r,6,3,3,3,3.0,0.0,2,2,0,0.9102,0.9102,0.0
method3,6,3,3,2,2.667,0.222,2,2,0,0.9102,0.9102,0.0
method1,7,3,3,2,2.857,0.122,3,3,0,1.1703,1.1703,0.0
method2,7,3,3,1,2.0,0.286,3,3,0,1.1703,1.1703,0.0
method2r,7,3,3,2,2.857,0.122,3,3,0,1.1703,1.1703,0.0
method3,7,3,3,2,2.857,0.122,3,3,0,1.1703,1.1703,0.0
method1,8,3,3,3,3.0,0.0,3,3,0,1.024,1.024,0.0
method1,8,4,4,3,3.75,0.188,3,3,0,1.082,1.082,0.0
method2,8,3,4,1,1.75,0.938,4,4,0,1.4427,1.4427,0.0
method2,8,4,4,1,1.75,0.938,4,4,0,1.4427,1.4427,0.0
method2r,8,3,4,2,3.0,0.25,3,3,0,1.082,1.082,0.0
method2r,8,4,4,3,3.75,0.188,3,3,0,1.082,1.082,0.0
method3,8,3,3,2,2.75,0.188,3,3,0,1.024,1.024,0.0
method3,8,4,4,3,3.75,0.188,3,3,0,1.082,1.082,0.01
method1,9,3,3,2,2.889,0.099,4,4,0,1.2137,1.2137,0.0
method1,9,4,4,2,3.778,0.395,3,3,0,0.9618,0.9618,0.0
method2,9,3,4,1,2.222,1.062,4,4,0,1.2824,1.2824,0.0
method2,9,4,4,1,2.444,1.358,4,4,0,1.2824,1.2824,0.0
method2r,9,3,4,2,2.889,0.321,3,4,0,0.9618,1.2824,0.0
method2r,9,4,4,2,3.778,0.395,3,3,0,0.9618,0.9618,0.0
method3,9,3,3,2,2.889,0.099,3,3,0,0.9102,0.9102,0.0
method3,9,4,4,3,3.778,0.173,3,3,0,0.9618,0.9618,0.01
method1,10,3,3,3,3.0,0.0,3,4,0,0.8192,1.0923,0.0
method1,10,4,4,2,3.6,0.44,3,3,0,0.8656,0.8656,0.0
method1,10,5,5,4,4.8,0.16,3,3,0,0.932,0.932,0.0
method2,10,3,4,1,2.4,1.04,5,5,0,1.4427,1.4427,0.0
method2,10,4,4,1,2.8,2.16,5,5,0,1.4427,1.4427,0.01
method2,10,5,5,1,3.2,2.16,4,5,0,1.2427,1.5533,0.0
method2r,10,3,4,2,3.0,0.2,4,4,0,1.1542,1.1542,0.0
method2r,10,4,4,3,3.8,0.16,4,4,0,1.1542,1.1542,0.0
method2r,10,5,5,3,4.8,0.36,4,4,0,1.2427,1.2427,0.01
method3,10,3,3,2,2.8,0.16,4,4,0,1.0923,1.0923,0.01
