saddle,method,t,alpha,alpha_drop,n,m0,skipped
0,drop_e_max,17,5,2,20,57,0
0,drop_e_max,18,5,2,20,57,0
0,drop_e_max,19,5,2,20,57,0
0,drop_e_max,20,5,2,20,57,0
0,drop_l_hc,0,7,0,20,57,0
0,drop_l_hc,1,7,0,20,57,0
0,drop_l_hc,2,7,0,20,57,0
0,drop_l_hc,3,7,0,20,57,0
0,drop_l_hc,4,7,0,20,57,0
0,drop_l_hc,5,7,0,20,57,0
0,drop_l_hc,6,7,0,20,57,0
0,drop_l_hc,7,7,0,20,57,0
0,drop_l_hc,8,7,0,20,57,0
0,drop_l_hc,9,7,0,20,57,0
0,drop_l_hc,10,7,0,20,57,0
0,drop_l_hc,11,7,0,20,57,0
0,drop_l_hc,12,7,0,20,57,0
0,drop_l_hc,13,7,0,20,57,0
0,drop_l_hc,14,7,0,20,57,0
0,drop_l_hc,15,7,0,20,57,0
0,drop_l_hc,16,6,1,20,57,0
0,drop_l_hc,17,6,1,20,57,0
0,drop_l_hc,18,6,1,20,57,0
0,drop_l_hc,19,6,1,20,57,0
0,drop_l_hc,20,6,1,20,57,0
0,hardcore_comarg,0,7,0,20,57,0
0,hardcore_comarg,1,7,0,20,57,0
0,hardcore_comarg,2,6,1,20,57,0
0,hardcore_comarg,3,6,1,20,57,0
0,hardcore_comarg,4,6,1,20,57,0
0,hardcore_comarg,5,5,2,20,57,0
0,hardcore_comarg,6,5,2,20,57,0
0,hardcore_comarg,7,5,2,20,57,0
0,hardcore_comarg,8,5,2,20,57,0
0,hardcore_comarg,9,5,2,20,57,0
0,hardcore_comarg,10,5,2,20,57,0
0,hardcore_comarg,11,5,2,20,57,0
0,hardcore_comarg,12,5,2,20,57,0
0,hardcore_comarg,13,5,2,20,57,0
0,hardcore_comarg,14,5,2,20,57,0
0,hardcore_comarg,15,5,2,20,57,0
0,hardcore_comarg,16,5,2,20,57,0
0,hardcore_comarg,17,5,2,20,57,0
0,hardcore_comarg,18,5,2,20,57,0
0,hardcore_comarg,19,5,2,20,57,0
0,hardcore_comarg,20,5,2,20,57,0
0,sdp_X_uw,0,7,0,20,57,0
0,sdp_X_uw,1,7,0,20,57,0
0,sdp_X_uw,2,6,1,20,57,0
0,sdp_X_uw,3,6,1,20,57,0
0,sdp_X_uw,4,6,1,20,57,0
0,sdp_X_uw,5,6,1,20,57,0
0,sdp_X_uw,6,5,2,20,57,0
0,sdp_X_uw,7,5,2,20,57,0
0,sdp_X_uw,8,5,2,20,57,0
0,sdp_X_uw,9,5,2,20,57,0
0,sdp_X_uw,10,5,2,20,57,0
0,sdp_X_uw,11,5,2,20,57,0
0,sdp_X_uw,12,5,2,20,57,0
0,sdp_X_uw,13,5,2,20,57,0
