n,saddle,method,a0,alpha_final,alpha_drop,steps_taken,first_drop_t,wasted_steps,wall_s,skipped
20,18,hardcore_comarg,7,5,2,20,2,18,0.579,0
20,18,sdp_X_uw,7,5,2,20,2,18,1.525,0
20,18,lp_xu_plus_xw,7,5,2,20,2,18,1.049,0
20,18,hoffman_grad,7,7,0,0,,0,0.028,1
20,18,drop_e_max,7,5,2,20,2,18,26.733,0
20,18,drop_l_hc,7,6,1,20,3,19,29.136,0
20,19,random,7,6,1,20,15,19,0.632,0
20,19,drop_alpha,7,5,2,20,4,18,1.115,0
20,19,hardcore_comarg,7,5,2,20,2,18,0.833,0
20,19,sdp_X_uw,7,5,2,20,2,18,1.944,0
20,19,lp_xu_plus_xw,7,6,1,20,2,19,1.469,0
20,19,hoffman_grad,7,7,0,0,,0,0.03,1
20,19,drop_e_max,7,5,2,20,2,18,31.809,0
20,19,drop_l_hc,7,6,1,20,3,19,35.975,0
22,0,random,8,7,1,20,3,19,0.864,0
22,0,drop_alpha,8,6,2,20,5,18,1.587,0
22,0,hardcore_comarg,8,5,3,20,2,17,1.087,0
22,0,sdp_X_uw,8,5,3,20,2,17,2.67,0
22,0,lp_xu_plus_xw,8,6,2,20,5,18,1.62,0
22,0,hoffman_grad,8,8,0,0,,0,0.039,1
22,1,random,8,7,1,20,12,19,0.691,0
22,1,drop_alpha,8,7,1,20,2,19,1.446,0
22,1,hardcore_comarg,8,5,3,20,2,17,1.024,0
22,1,sdp_X_uw,8,5,3,20,2,17,2.609,0
22,1,lp_xu_plus_xw,8,6,2,20,8,18,3.343,0
22,1,hoffman_grad,8,8,0,0,,0,0.035,1
22,2,random,8,8,0,20,,20,0.823,0
22,2,drop_alpha,8,7,1,20,3,19,1.507,0
22,2,hardcore_comarg,8,5,3,20,2,17,0.877,0
22,2,sdp_X_uw,8,5,3,20,2,17,2.552,0
22,2,lp_xu_plus_xw,8,6,2,20,12,18,1.836,0
22,2,hoffman_grad,8,8,0,0,,0,0.047,1
22,3,random,8,7,1,20,7,19,0.68,0
22,3,drop_alpha,8,7,1,20,3,19,1.373,0
22,3,hardcore_comarg,8,5,3,20,2,17,1.018,0
22,3,sdp_X_uw,8,5,3,20,2,17,2.545,0
22,3,lp_xu_plus_xw,8,7,1,20,4,19,1.462,0
22,3,hoffman_grad,8,8,0,0,,0,0.03,1
22,4,random,8,7,1,20,6,19,0.632,0
22,4,drop_alpha,8,7,1,20,9,19,1.097,0
22,4,hardcore_comarg,8,5,3,20,2,17,0.851,0
22,4,sdp_X_uw,8,5,3,20,2,17,2.213,0
22,4,lp_xu_plus_xw,8,6,2,20,2,18,1.444,0
22,4,hoffman_grad,8,8,0,0,,0,0.032,1
22,5,random,8,7,1,20,8,19,0.669,0
22,5,drop_alpha,8,6,2,20,4,18,1.35,0
22,5,hardcore_comarg,8,5,3,20,2,17,1.147,0
22,5,sdp_X_uw,8,5,3,20,2,17,2.657,0
22,5,lp_xu_plus_xw,8,6,2,20,8,18,1.607,0
22,5,hoffman_grad,8,8,0,0,,0,0.038,1
22,6,random,8,7,1,20,4,19,0.774,0
22,6,drop_alpha,8,6,2,20,3,18,1.387,0
22,6,hardcore_comarg,8,5,3,20,2,17,2.495,0
22,6,sdp_X_uw,8,5,3,20,2,17,1.791,0
22,6,lp_xu_plus_xw,8,6,2,20,2,18,1.569,0
22,6,hoffman_grad,8,8,0,0,,0,0.032,1
22,7,random,8,6,2,20,15,18,0.675,0
22,7,drop_alpha,8,6,2,20,4,18,1.366,0
22,7,hardcore_comarg,8,5,3,20,2,17,1.072,0
22,7,sdp_X_uw,8,5,3,20,2,17,2.996,0
22,7,lp_xu_plus_xw,8,6,2,20,4,18,1.767,0
22,7,hoffman_grad,8,8,0,0,,0,0.043,1
22,8,random,8,8,0,20,,20,0.888,0
22,8,drop_alpha,8,6,2,20,2,18,1.371,0
22,8,hardcore_comarg,8,5,3,20,2,17,1.076,0
22,8,sdp_X_uw,8,5,3,20,2,17,2.533,0
22,8,lp_xu_plus_xw,8,7,1,20,13,19,1.852,0
22,8,hoffman_grad,8,8,0,0,,0,0.046,1
22,9,random,8,6,2,20,10,18,0.972,0
22,9,drop_alpha,8,6,2,20,3,18,1.618,0
22,9,hardcore_comarg,8,5,3,20,2,17,1.179,0
22,9,sdp_X_uw,8,5,3,20,2,17,2.484,0
22,9,lp_xu_plus_xw,8,6,2,20,3,18,1.849,0
22,9,hoffman_grad,8,8,0,0,,0,0.043,1
