n,saddle,method,a0,alpha_final,alpha_drop,steps_taken,first_drop_t,wasted_steps,wall_s,skipped
15,11,lp_xu_plus_xw,6,4,2,20,4,18,0.485,0
15,11,hoffman_grad,6,6,0,0,,0,0.008,1
15,11,drop_e_max,6,4,2,20,3,18,6.031,0
15,11,drop_l_hc,6,5,1,20,9,19,7.646,0
15,12,random,6,6,0,20,,20,0.156,0
15,12,drop_alpha,6,4,2,20,3,18,0.283,0
15,12,hardcore_comarg,6,4,2,20,2,18,0.214,0
15,12,sdp_X_uw,6,4,2,20,2,18,0.819,0
15,12,lp_xu_plus_xw,6,5,1,20,5,19,0.53,0
15,12,hoffman_grad,6,6,0,0,,0,0.008,1
15,12,drop_e_max,6,4,2,20,2,18,7.061,0
15,12,drop_l_hc,6,6,0,20,,20,11.459,0
15,13,random,6,5,1,20,10,19,0.152,0
15,13,drop_alpha,6,4,2,20,4,18,0.255,0
15,13,hardcore_comarg,6,4,2,20,2,18,0.192,0
15,13,sdp_X_uw,6,4,2,20,2,18,0.794,0
15,13,lp_xu_plus_xw,6,5,1,20,10,19,0.497,0
15,13,hoffman_grad,6,6,0,0,,0,0.008,1
15,13,drop_e_max,6,4,2,20,2,18,6.745,0
15,13,drop_l_hc,6,6,0,20,,20,9.008,0
15,14,random,6,5,1,20,14,19,0.156,0
15,14,drop_alpha,6,5,1,20,4,19,0.259,0
15,14,hardcore_comarg,6,4,2,20,2,18,0.19,0
15,14,sdp_X_uw,6,4,2,20,2,18,0.71,0
15,14,lp_xu_plus_xw,6,5,1,20,7,19,0.519,0
15,14,hoffman_grad,6,6,0,0,,0,0.01,1
15,14,drop_e_max,6,4,2,20,2,18,6.759,0
15,14,drop_l_hc,6,5,1,20,14,19,10.164,0
15,15,random,6,4,2,20,8,18,0.166,0
15,15,drop_alpha,6,5,1,20,9,19,0.267,0
15,15,hardcore_comarg,6,4,2,20,2,18,0.191,0
15,15,sdp_X_uw,6,4,2,20,2,18,0.757,0
15,15,lp_xu_plus_xw,6,5,1,20,2,19,0.53,0
15,15,hoffman_grad,6,6,0,0,,0,0.008,1
15,15,drop_e_max,6,4,2,20,2,18,6.858,0
15,15,drop_l_hc,6,5,1,20,12,19,8.289,0
15,16,random,6,5,1,20,8,19,0.155,0
15,16,drop_alpha,6,5,1,20,7,19,0.257,0
15,16,hardcore_comarg,6,4,2,20,2,18,0.189,0
15,16,sdp_X_uw,6,4,2,20,2,18,0.726,0
15,16,lp_xu_plus_xw,6,4,2,20,2,18,0.476,0
15,16,hoffman_grad,6,6,0,0,,0,0.008,1
15,16,drop_e_max,6,4,2,20,2,18,7.997,0
15,16,drop_l_hc,6,5,1,20,13,19,8.369,0
15,17,random,6,5,1,20,19,19,0.15,0
15,17,drop_alpha,6,4,2,20,3,18,0.266,0
15,17,hardcore_comarg,6,4,2,20,2,18,0.193,0
15,17,sdp_X_uw,6,4,2,20,2,18,0.738,0
15,17,lp_xu_plus_xw,6,4,2,20,6,18,0.528,0
15,17,hoffman_grad,6,6,0,0,,0,0.008,1
15,17,drop_e_max,6,4,2,20,2,18,6.72,0
15,17,drop_l_hc,6,5,1,20,11,19,8.517,0
15,18,random,6,5,1,20,7,19,0.151,0
15,18,drop_alpha,6,4,2,20,2,18,0.256,0
15,18,hardcore_comarg,6,4,2,20,2,18,0.188,0
15,18,sdp_X_uw,6,4,2,20,2,18,0.706,0
15,18,lp_xu_plus_xw,6,4,2,20,5,18,0.491,0
15,18,hoffman_grad,6,6,0,0,,0,0.045,1
15,18,drop_e_max,6,4,2,20,2,18,7.597,0
15,18,drop_l_hc,6,5,1,20,2,19,7.942,0
15,19,random,6,5,1,20,19,19,0.164,0
15,19,drop_alpha,6,4,2,20,2,18,0.264,0
15,19,hardcore_comarg,6,4,2,20,2,18,0.19,0
15,19,sdp_X_uw,6,4,2,20,2,18,0.765,0
15,19,lp_xu_plus_xw,6,5,1,20,9,19,0.51,0
15,19,hoffman_grad,6,6,0,0,,0,0.008,1
15,19,drop_e_max,6,4,2,20,2,18,6.653,0
15,19,drop_l_hc,6,5,1,20,4,19,7.548,0
18,0,random,7,6,1,20,10,19,0.293,0
18,0,drop_alpha,7,6,1,20,4,19,0.516,0
18,0,hardcore_comarg,7,4,3,20,2,17,0.461,0
18,0,sdp_X_uw,7,4,3,20,2,17,1.147,0
18,0,lp_xu_plus_xw,7,5,2,20,5,18,0.803,0
18,0,hoffman_grad,7,7,0,0,,0,0.015,1
18,0,drop_e_max,7,4,3,20,2,17,15.33,0
18,0,drop_l_hc,7,7,0,20,,20,17.469,0
18,1,random,7,6,1,20,6,19,0.338,0
18,1,drop_alpha,7,6,1,20,4,19,0.753,0
18,1,hardcore_comarg,7,5,2,20,2,18,0.438,0
18,1,sdp_X_uw,7,5,2,20,2,18,0.985,0
18,1,lp_xu_plus_xw,7,5,2,20,6,18,1.074,0
18,1,hoffman_grad,7,7,0,0,,0,0.015,1
18,1,drop_e_max,7,5,2,20,2,18,13.728,0
18,1,drop_l_hc,7,7,0,20,,20,16.689,0
18,2,random,7,7,0,20,,20,0.287,0
18,2,drop_alpha,7,6,1,20,7,19,0.538,0
18,2,hardcore_comarg,7,5,2,20,2,18,0.378,0
18,2,sdp_X_uw,7,5,2,20,2,18,1.136,0
18,2,lp_xu_plus_xw,7,6,1,20,10,19,0.741,0
18,2,hoffman_grad,7,7,0,0,,0,0.054,1
18,2,drop_e_max,7,5,2,20,3,18,12.641,0
18,2,drop_l_hc,7,6,1,20,9,19,15.326,0
18,3,random,7,6,1,20,5,19,0.29,0
18,3,drop_alpha,7,5,2,20,3,18,0.517,0
18,3,hardcore_comarg,7,4,3,20,2,17,0.398,0
18,3,sdp_X_uw,7,5,2,20,2,18,1.089,0
18,3,lp_xu_plus_xw,7,5,2,20,13,18,0.74,0
18,3,hoffman_grad,7,7,0,0,,0,0.015,1
18,3,drop_e_max,7,5,2,20,2,18,13.331,0
18,3,drop_l_hc,7,6,1,20,8,19,16.258,0
18,4,random,7,5,2,20,7,18,0.29,0
18,4,drop_alpha,7,5,2,20,4,18,0.515,0
18,4,hardcore_comarg,7,4,3,20,2,17,0.373,0
18,4,sdp_X_uw,7,4,3,20,2,17,1.073,0
18,4,lp_xu_plus_xw,7,6,1,20,5,19,0.784,0
18,4,hoffman_grad,7,7,0,0,,0,0.016,1
18,4,drop_e_max,7,4,3,20,2,17,14.91,0
18,4,drop_l_hc,7,6,1,20,4,19,18.172,0
18,5,random,7,7,0,20,,20,0.291,0
18,5,drop_alpha,7,6,1,20,2,19,0.532,0
18,5,hardcore_comarg,7,4,3,20,2,17,0.378,0
18,5,sdp_X_uw,7,4,3,20,2,17,1.178,0
18,5,lp_xu_plus_xw,7,5,2,20,2,18,0.75,0
18,5,hoffman_grad,7,7,0,0,,0,0.015,1
18,5,drop_e_max,7,4,3,20,2,17,15.628,0
18,5,drop_l_hc,7,6,1,20,2,19,19.194,0
18,6,random,7,7,0,20,,20,0.302,0
18,6,drop_alpha,7,5,2,20,3,18,0.512,0
18,6,hardcore_comarg,7,4,3,20,2,17,0.367,0
18,6,sdp_X_uw,7,4,3,20,2,17,1.081,0
18,6,lp_xu_plus_xw,7,7,0,20,,20,0.738,0
18,6,hoffman_grad,7,7,0,0,,0,0.015,1
18,6,drop_e_max,7,4,3,20,2,17,14.021,0
