n,saddle,method,t,alpha,alpha_drop,m0,skipped
15,1,lp_xu_plus_xw,5,6,0,32,0
15,1,lp_xu_plus_xw,6,6,0,32,0
15,1,lp_xu_plus_xw,7,6,0,32,0
15,1,lp_xu_plus_xw,8,6,0,32,0
15,1,lp_xu_plus_xw,9,6,0,32,0
15,1,lp_xu_plus_xw,10,6,0,32,0
15,1,lp_xu_plus_xw,11,6,0,32,0
15,1,lp_xu_plus_xw,12,6,0,32,0
15,1,lp_xu_plus_xw,13,6,0,32,0
15,1,lp_xu_plus_xw,14,5,1,32,0
15,1,lp_xu_plus_xw,15,5,1,32,0
15,1,lp_xu_plus_xw,16,5,1,32,0
15,1,lp_xu_plus_xw,17,5,1,32,0
15,1,lp_xu_plus_xw,18,5,1,32,0
15,1,lp_xu_plus_xw,19,5,1,32,0
15,1,lp_xu_plus_xw,20,5,1,32,0
15,1,hoffman_grad,0,6,0,32,1
15,1,drop_e_max,0,6,0,32,0
15,1,drop_e_max,1,6,0,32,0
15,1,drop_e_max,2,5,1,32,0
15,1,drop_e_max,3,5,1,32,0
15,1,drop_e_max,4,5,1,32,0
15,1,drop_e_max,5,5,1,32,0
15,1,drop_e_max,6,5,1,32,0
15,1,drop_e_max,7,5,1,32,0
15,1,drop_e_max,8,4,2,32,0
15,1,drop_e_max,9,4,2,32,0
15,1,drop_e_max,10,4,2,32,0
15,1,drop_e_max,11,4,2,32,0
15,1,drop_e_max,12,4,2,32,0
15,1,drop_e_max,13,4,2,32,0
15,1,drop_e_max,14,4,2,32,0
15,1,drop_e_max,15,4,2,32,0
15,1,drop_e_max,16,4,2,32,0
15,1,drop_e_max,17,4,2,32,0
15,1,drop_e_max,18,4,2,32,0
15,1,drop_e_max,19,4,2,32,0
15,1,drop_e_max,20,4,2,32,0
15,1,drop_l_hc,0,6,0,32,0
15,1,drop_l_hc,1,6,0,32,0
15,1,drop_l_hc,2,6,0,32,0
15,1,drop_l_hc,3,5,1,32,0
15,1,drop_l_hc,4,5,1,32,0
15,1,drop_l_hc,5,5,1,32,0
15,1,drop_l_hc,6,5,1,32,0
15,1,drop_l_hc,7,5,1,32,0
15,1,drop_l_hc,8,5,1,32,0
15,1,drop_l_hc,9,5,1,32,0
15,1,drop_l_hc,10,5,1,32,0
15,1,drop_l_hc,11,5,1,32,0
15,1,drop_l_hc,12,5,1,32,0
15,1,drop_l_hc,13,5,1,32,0
