saddle,method,n,a0,alpha_final,alpha_drop,steps_taken,first_drop_t,wasted_steps,wall_s,skipped
11,sdp_X_uw,20,7,5,2,20,2,18,0.908,0
11,lp_xu_plus_xw,20,7,5,2,20,4,18,0.676,0
11,hoffman_grad,20,7,7,0,0,,0,0.014,1
12,random,20,7,6,1,20,10,19,0.304,0
12,drop_alpha,20,7,6,1,20,3,19,0.545,0
12,drop_e_max,20,7,5,2,20,2,18,15.477,0
12,drop_l_hc,20,7,6,1,20,5,19,15.205,0
12,hardcore_comarg,20,7,5,2,20,2,18,0.371,0
12,sdp_X_uw,20,7,5,2,20,2,18,0.914,0
12,lp_xu_plus_xw,20,7,6,1,20,12,19,0.559,0
12,hoffman_grad,20,7,7,0,0,,0,0.013,1
13,random,20,7,6,1,20,6,19,0.293,0
13,drop_alpha,20,7,7,0,20,,20,0.515,0
13,drop_e_max,20,7,5,2,20,2,18,13.377,0
13,drop_l_hc,20,7,6,1,20,10,19,14.858,0
13,hardcore_comarg,20,7,5,2,20,2,18,0.374,0
13,sdp_X_uw,20,7,5,2,20,2,18,0.888,0
13,lp_xu_plus_xw,20,7,6,1,20,12,19,0.727,0
13,hoffman_grad,20,7,7,0,0,,0,0.015,1
14,random,20,7,7,0,20,,20,0.303,0
14,drop_alpha,20,7,6,1,20,11,19,0.525,0
14,drop_e_max,20,7,5,2,20,2,18,13.691,0
14,drop_l_hc,20,7,6,1,20,4,19,14.935,0
14,hardcore_comarg,20,7,5,2,20,2,18,0.321,0
14,sdp_X_uw,20,7,5,2,20,2,18,0.77,0
14,lp_xu_plus_xw,20,7,7,0,20,,20,0.567,0
14,hoffman_grad,20,7,7,0,0,,0,0.014,1
