graph_id,n,d_min,d_max,alpha,c_log,is_regular,d_var,E_max,tightness,c_bound_rung2,wall_s
22a88f2e556f1ff1,10,4,4,3,0.865617,1,0.0,2.987605207431851,0.9958684024772837,0.8620406433791948,0.002
2c3e71140dff24e8,11,4,4,3,0.786925,1,0.0,2.992531093159621,0.9975103643865403,0.7849654123286207,0.001
24089de3c77778ec,12,5,5,3,0.776669,1,0.0,2.993591254379872,0.9978637514599574,0.7750095108909768,0.002
1a2f80904c127ef2,12,2,2,4,0.961797,1,0.0,3.993344425956739,0.9983361064891848,0.9601963666482287,0.002
99047a849fcbf9bc,12,1,1,6,,1,0.0,5.985037406483791,0.9975062344139651,,0.002
b56c9d1e7f22414d,12,2,2,5,1.202246,1,0.0,4.98179597596526,0.9963591951930519,1.197868724874279,0.002
c601b815eb1ede0e,13,6,6,3,0.772769,1,0.0,2.992531095755964,0.997510365251988,0.7708446483814392,0.002
deb8b8e3b037c022,14,5,6,3,0.717571,0,0.122449,2.9945794923860585,0.9981931641286862,0.7162742728941852,0.002
220d4fe79b1c3a63,15,6,7,3,0.719458,0,0.16,2.9945048038641255,0.9981682679547085,0.7181398256312138,0.002
880b0fb4383e5f23,16,4,4,4,0.721348,1,0.0,3.9933471898937096,0.9983367974734274,0.7201477734259416,0.003
616eac31100bc37e,17,8,8,3,0.678915,1,0.0,2.9950124633498163,0.9983374877832721,0.6777866083569284,0.003
82594daeae0dcfe3,18,6,6,4,0.744148,1,0.0,3.990644115124302,0.9976610287810755,0.7424069624783574,0.003
6a8d281aabad2908,19,6,6,4,0.704982,1,0.0,3.9919033900027614,0.9979758475006903,0.7035548533031019,0.004
d76f4a61474cfb29,20,7,7,4,0.719458,1,0.0,3.9918982261812426,0.9979745565453106,0.7180004584701511,0.004
a4066602d5c65e06,22,3,4,6,0.786925,0,0.14876,5.987578188630819,0.9979296981051364,0.7852953963338731,0.009
2b9262a54eb5bff3,22,5,6,5,0.76106,0,0.082645,4.988170675226906,0.9976341350453811,0.7592593802442127,0.006
f309cb3848c2e603,22,1,4,7,0.918079,0,1.057851,6.985038016461467,0.9978625737802096,0.9161163369790764,0.018
aa356a092d0eb4fc,22,8,8,4,0.699489,1,0.0,3.9931987115978393,0.9982996778994598,0.6982991489098669,0.004
92ceb7fdfc261844,23,3,4,6,0.75271,0,0.143667,5.98946784257591,0.9982446404293183,0.7513891786128856,0.01
cb7f534a665de241,23,0,4,7,0.878162,0,0.771267,6.983939775933144,0.9977056822761634,0.876147415704863,0.012
3c9b2c4e75c6113b,24,4,4,6,0.721348,1,0.0,5.990020784840565,0.9983367974734275,0.7201477734259417,0.011
9df8f622395c7970,24,1,4,7,0.841572,0,0.743056,6.986244080396327,0.9980348686280467,0.8399183074356382,0.018
c85eb47ebbd5a012,25,6,7,5,0.719458,0,0.16,4.9908549386866765,0.9981709877373353,0.7181417823997108,0.007
1460baec9f54a089,25,3,4,7,0.807909,0,0.2176,6.985322590273018,0.9979032271818598,0.8062152207997225,0.02
481809eab28c043a,25,1,4,8,0.923325,0,0.6656,7.982094797779649,0.9977618497224561,0.9212582864529834,0.036
a2b1a5a22982c520,25,5,6,6,0.803679,0,0.1344,5.98237745215448,0.9970629086924133,0.8013188227411178,0.009
073227a10443fe4b,26,3,4,7,0.776836,0,0.130178,6.986215723286376,0.9980308176123395,0.7753060598896737,0.027
b7aa6562d65b1991,26,4,6,6,0.772769,0,0.402367,5.987947891953121,0.9979913153255202,0.7712163114771178,0.012
f7da038cfe9e2836,26,6,8,5,0.739844,0,0.289941,4.989690935422726,0.9979381870845453,0.7383181916003058,0.009
27b85da4b5a7ba2b,27,3,4,7,0.748064,0,0.1262,6.987891125436827,0.9982701607766895,0.7467700646622005,0.034
5f74759cb56822ac,27,4,6,6,0.744148,0,0.395062,5.989226541521869,0.9982044235869781,0.7428113283658065,0.014
5ebaca0055ab76a7,28,5,6,6,0.717571,0,0.122449,5.989273703659904,0.9982122839433174,0.7162879927149726,0.016
af840b52b663757f,28,3,5,7,0.776669,0,0.387755,6.986633695434656,0.9980905279192366,0.7751856410615842,0.034
287dc2438a9c2c75,29,3,6,7,0.808298,0,0.832342,6.985143464165731,0.9978776377379616,0.8065826473108729,0.031
96a8b9b279e443b1,29,5,7,6,0.744267,0,0.31629,5.9888711677168915,0.9981451946194819,0.7428860951824112,0.017
d3777ce48c7c4f56,30,4,8,6,0.769437,0,1.462222,5.988042643127487,0.9980071071879145,0.7679039489663704,0.018
192b56e86877b397,30,9,11,5,0.764559,0,0.226667,4.987997726673834,0.9975995453347668,0.7627240941369475,0.01
