graph_id,n,d,alpha,lam_min,hoffman,theta,theta_over_alpha,theta_over_hoff,alpha_over_hoff,theta_minus_alpha,c_log,group
22a88f2e556f1ff1,10,4,3,-2.236068,3.58570175950615,3.1671833269401555,1.0557277756467185,0.8832813042924027,0.8366563091998991,0.16718332694015547,0.865617,SG_10_1_D10
2c3e71140dff24e8,11,4,3,-2.203616,3.9073624157265696,3.4517961885139457,1.1505987295046485,0.8834082486490028,0.7677813524349401,0.45179618851394565,0.786925,SG_11_1_C11
25eaa849d935f0d3,12,3,4,-2.0,4.8,4.000001268184792,1.000000317046198,0.8333335975384983,0.8333333333333334,1.2681847918472045e-06,0.910239,SG_12_1_C3:C4
24089de3c77778ec,12,5,3,-3.0,4.5,3.4640951434202956,1.1546983811400986,0.7697989207600657,0.6666666666666666,0.46409514342029556,0.776669,SG_12_2_C12
301907db69ee766b,12,5,3,-2.236068,3.7082039582823163,3.708203631818523,1.236067877272841,0.9999999119617483,0.8090169887498948,0.708203631818523,0.776669,SG_12_3_A4
c601b815eb1ede0e,13,6,3,-3.197832,4.519740738904559,3.6055572397158997,1.2018524132386332,0.7977354118302307,0.663754886243122,0.6055572397158997,0.772769,SG_13_1_C13
f8d1e3091db6f467,14,4,4,-2.24698,5.035668434987786,4.219825954358338,1.0549564885895846,0.8379872521071919,0.7943334736274594,0.2198259543583383,0.824397,SG_14_1_D14
e822613277e729b5,14,4,4,-2.24698,5.035668434987786,4.505530764672676,1.126382691168169,0.8947234757094574,0.7943334736274594,0.5055307646726757,0.824397,SG_14_2_C14
165bd50c87de1c22,15,6,4,-2.827091,4.804115534778105,4.522094777128774,1.1305236942821935,0.9412960084727944,0.8326194428595802,0.5220947771287738,0.892977,SG_15_1_C15
0a68d1a825a5136a,16,3,8,-3.0,8.0,8.000014907392014,1.0000018634240018,1.0000018634240018,1.0,1.490739201415181e-05,1.365359,SG_16_12_C2xQ8
081d077214f2f1a0,16,5,5,-3.0,6.0,6.000003307807702,1.2000006615615404,1.0000005513012837,0.8333333333333334,1.0000033078077024,0.970836,SG_16_2_C4xC4
880b0fb4383e5f23,16,4,4,-2.0,5.333333333333333,4.686290538843863,1.1715726347109658,0.8786794760332244,0.75,0.6862905388438634,0.721348,SG_16_1_C16
6510039dfe5d9d24,16,6,4,-2.828427,5.126035702622902,4.6862925031853715,1.1715731257963429,0.9142137852819633,0.7803301092798224,0.6862925031853715,0.837166,SG_16_4_C4:C4
632f63a7f3c4caa6,16,7,4,-3.0,4.8,3.999999066203735,0.9999997665509337,0.8333331387924447,0.8333333333333334,-9.337962652011811e-07,0.899322,SG_16_6_C8:C2
42167d69026f7fe2,16,5,4,-3.0,6.0,4.999998704787203,1.2499996761968009,0.8333331174645339,0.6666666666666666,0.9999987047872034,0.776669,SG_16_3_(C4xC2):C2
ff2b19f34a7432c4,16,6,4,-2.0,4.0,3.99999960164196,0.99999990041049,0.99999990041049,1.0,-3.983580398880804e-07,0.837166,SG_16_2_C4xC4
616eac31100bc37e,17,8,3,-2.561553,4.123105853845548,4.123105744236,1.374368581412,0.9999999734157812,0.7276068348334916,1.1231057442359997,0.678915,SG_17_1_C17
a107a2bf38145367,18,6,6,-3.0,6.0,6.00005399348181,1.000008998913635,1.000008998913635,1.0,5.3993481810010735e-05,1.116221,SG_18_4_(C3xC3):C2
82594daeae0dcfe3,18,6,4,-2.532089,5.341904192513698,5.004804511376339,1.2512011278440847,0.9368952214437353,0.7487966567438102,1.0048045113763386,0.744148,SG_18_1_D18
103fecccf50f605c,18,7,4,-2.791288,5.131417235403555,4.762205388153577,1.1905513470383942,0.9280487572316963,0.7795117443193886,0.7622053881535766,0.799397,SG_18_3_C3xS3
f856cd55cb058447,18,7,4,-3.0,5.4,4.999959771526385,1.2499899428815961,0.9259184762085897,0.7407407407407407,0.9999597715263846,0.799397,SG_18_5_C6xC3
6a8d281aabad2908,19,6,4,-2.285142,5.240428951006512,5.2404334399879655,1.3101083599969914,1.0000008566057275,0.7632962945202669,1.2404334399879655,0.704982,SG_19_1_C19
18147bf6fda98e69,20,7,4,-3.854102,7.101650601772491,5.306063756099709,1.3265159390249273,0.7471592244731635,0.5632493379780815,1.306063756099709,0.719458,SG_20_4_D20
7834164967efd010,20,8,4,-4.236068,6.923903986149799,5.1572431389224125,1.2893107847306031,0.744846137271499,0.5777087619934335,1.1572431389224125,0.769437,SG_20_1_C5:C4
517e6a25ff72f0ce,20,8,4,-4.236068,6.923903986149799,5.276242307157889,1.3190605767894723,0.7620328528113904,0.5777087619934335,1.2762423071578892,0.769437,SG_20_2_C20
56e3dfc2e07344e1,20,8,4,-4.0,6.666666666666667,5.2573106410076935,1.3143276602519234,0.788596596151154,0.6,1.2573106410076935,0.769437,SG_20_3_C5:C4
94aba0c67d46d31a,21,8,4,-2.71871,5.32647212211171,4.841093351102946,1.2102733377757364,0.9088742492439192,0.7509661006944645,0.8410933511029457,0.732797,SG_21_1_C7:C3
8812a7612418bc72,21,8,4,-3.493959,6.383626303173693,5.404425617405492,1.351106404351373,0.8466074548753927,0.6266030951735622,1.4044256174054919,0.732797,SG_21_2_C21
aa356a092d0eb4fc,22,8,4,-3.707599,6.967028679407281,5.670927538989828,1.417731884747457,0.8139664410671381,0.5741328454442791,1.6709275389898277,0.699489,SG_22_1_D22
1eafdd6b8f201a60,23,4,7,-2.221182,8.211813446383662,7.574423534605748,1.0820605049436782,0.9223813453703567,0.8524304705293417,0.5744235346057476,0.878162,SG_23_1_C23
858f87ff2796b18c,23,8,5,-4.960305,8.802803251929642,6.289031175905452,1.2578062351810904,0.7144350493721244,0.5680008807312559,1.2890311759054516,0.836345,SG_23_1_C23
09dab3e43b37c1dd,23,8,5,-3.648692,7.204235119273477,6.289004095685858,1.2578008191371715,0.8729593067917643,0.6940362047073546,1.2890040956858577,0.836345,SG_23_1_C23
36297bd904187f06,24,8,8,-4.0,8.0,7.999948507613129,0.9999935634516411,0.9999935634516411,1.0,-5.1492386870855e-05,1.282396,SG_24_7_C2x(C3:C4)
f3eb0de1e608fee5,24,6,8,-3.0,8.0,8.000001313700265,1.0000001642125331,1.0000001642125331,1.0,1.3137002650154272e-06,1.116221,SG_24_7_C2x(C3:C4)
3c9b2c4e75c6113b,24,4,6,-2.0,8.0,7.029437624364954,1.171572937394159,0.8786797030456193,0.75,1.0294376243649541,0.721348,SG_24_1_C3:C8
e08f8665369fdab7,24,5,6,-3.0,9.0,6.928233876619711,1.1547056461032852,0.7698037640688568,0.6666666666666666,0.9282338766197107,0.776669,SG_24_4_C3:Q8
b2a2e076b36c1d16,24,7,6,-3.0,7.2,6.319175947092917,1.053195991182153,0.8776633259851274,0.8333333333333333,0.3191759470929174,0.899322,SG_24_11_C3xQ8
39196d1148b56199,24,7,6,-3.0,7.2,7.200011403787385,1.2000019006312308,1.000001583859359,0.8333333333333333,1.2000114037873848,0.899322,SG_24_15_C6xC2xC2
c863d7998807709c,24,7,5,-3.372281,7.80298412663521,6.399980327948182,1.2799960655896363,0.8201965073979934,0.6407804910089048,1.3999803279481817,0.749435,"SG_24_3_SL(2,3)"
eaeff9bb717e546f,24,7,5,-3.0,7.2,6.334370096136093,1.2668740192272185,0.8797736244633462,0.6944444444444444,1.3343700961360927,0.749435,SG_24_13_C2xA4
a19748a11c4edf5f,24,9,5,-5.0,8.571428571428571,6.285720410172692,1.2571440820345383,0.7333340478534808,0.5833333333333334,1.2857204101726918,0.853349,SG_24_15_C6xC2xC2
5717078a29d135df,24,10,4,-3.732051,6.522639917372866,5.7303516674104875,1.4325879168526219,0.8785325788332816,0.6132486310253175,1.7303516674104875,0.723824,SG_24_5_C4xS3
3976a3cbedf01cd1,24,10,4,-4.0,6.857142857142857,5.706446707829069,1.4266116769572672,0.8321901448917393,0.5833333333333334,1.7064467078290688,0.723824,SG_24_9_C12xC2
4a554f4d687ed161,25,6,7,-2.618034,7.594638173857287,7.594770008147773,1.0849671440211104,1.0000173588639074,0.921702896142678,0.5947700081477727,0.937626,SG_25_2_C5xC5
5162870f0ef78acd,25,8,6,-4.236068,8.65487998268725,7.151492079874608,1.1919153466457681,0.8262959271740409,0.6932505143921202,1.1514920798746084,0.923325,SG_25_1_C25
b3b3e7832f35c3c6,25,8,6,-4.236068,8.65487998268725,7.360681268177853,1.2267802113629755,0.8504660125734567,0.6932505143921202,1.3606812681778528,0.923325,SG_25_2_C5xC5
cc40d15fda8837a4,25,6,6,-2.767301,7.890971805348077,7.274762146235849,1.212460357705975,0.921909534806018,0.7603626204738841,1.2747621462358492,0.803679,SG_25_1_C25
3fdda50658cb52c9,26,6,7,-3.47981,9.543973982600917,7.9251037659663774,1.1321576808523397,0.8303777630171865,0.7334470958073971,0.9251037659663774,0.901563,SG_26_1_D26
455cbb3045ff254f,26,6,6,-3.197832,9.039481477809119,7.211102185499438,1.2018503642499063,0.7977340518039514,0.663754886243122,1.2111021854994384,0.772769,SG_26_1_D26
b04f6f0837d38069,26,6,6,-2.302776,7.211103370728056,7.211044735092775,1.2018407891821292,0.9999918687013254,0.8320501997455378,1.2110447350927753,0.772769,SG_26_2_C26
ffd8e39f5b217a4c,26,6,6,-2.665968,7.998548806088368,7.591774873021954,1.2652958121703257,0.9491440331330123,0.750136074112956,1.5917748730219543,0.772769,SG_26_2_C26
