n,d_max,alpha,c_log,E_max,tightness,is_regular,graph_id
4,3,2,1.365359,1.990074380267571,0.9950371901337856,0,9397f79e4e86912f
4,3,2,1.365359,1.9803436190289454,0.9901718095144727,0,fdbd418da0289c71
4,2,2,1.442695,1.9933609821110752,0.9966804910555376,0,64b30f8ec7208fea
5,3,2,1.092287,1.9937764361712038,0.9968882180856019,0,3b840a438b5fe67f
5,3,2,1.092287,1.9950149501743772,0.9975074750871886,0,967670952879efcb
5,3,2,1.092287,1.9937764361712038,0.9968882180856019,0,ea242d418227064d
5,2,2,1.154156,1.9950149501743772,0.9975074750871886,1,e6696b107360034b
6,3,2,0.910239,1.9962577949632783,0.9981288974816391,0,13114571dd0ca30f
6,3,2,0.910239,1.9957254775054145,0.9978627387527073,0,3bc16c695de52c52
6,3,2,0.910239,1.9957254775054145,0.9978627387527073,0,912f2fa4957928d2
7,4,2,0.824397,1.9961206526822008,0.9980603263411004,0,2b5023397338930d
7,4,2,0.824397,1.9961206526822008,0.9980603263411004,0,817c1727525120e6
7,4,2,0.824397,1.996507233414964,0.998253616707482,0,e9b9b2d08668631d
7,3,3,1.170308,2.9851360167623304,0.9950453389207768,0,607ce364e29b3ffc
7,2,3,1.236596,2.9900496983799956,0.9966832327933318,1,935748387c49e19c
8,4,2,0.721348,1.9966735949468541,0.9983367974734271,1,9bf19784dcba2a76
8,5,2,0.776669,1.9960109661081518,0.9980054830540759,0,4254506407b88f0d
8,5,2,0.776669,1.9963722908236168,0.9981861454118084,0,65578480c45b939b
8,3,3,1.024019,2.9900497049879684,0.9966832349959894,1,454c009bb29ac3a5
9,3,3,0.910239,2.994061583994599,0.9980205279981997,0,5b1d0ce60e83a7e6
9,3,3,0.910239,2.994593901452463,0.998197967150821,0,6e37a400e7ecc097
9,3,3,0.910239,2.994061583994599,0.9980205279981997,0,d940a2bc0b5b76a6
9,2,3,0.961797,2.995008319467554,0.9983361064891847,1,1652ff9ac5d08414
9,4,3,0.961797,2.970730166463196,0.9902433888210654,1,d6c1092e33d207a4
9,4,3,0.961797,2.9900497101275034,0.9966832367091678,1,d747a050a3e4554c
10,1,5,,4.987531172069826,0.9975062344139651,1,7a45ef6b05b96bd9
